Tables A.6, B.9, and B.10. The X-ray efficiency ([cm^2 sec]^{−1} [keV/u]^{−1}) of outgoing photons as a function of initial ion energy including opacity effects.  No opacity effects and the viewing angles of 0°, 80°, and 90° are displayed for atmosphere 2. The efficiency shown here is that solely from direct excitation collisions for both oxygen and sulfur.  We also include the X-ray efficiencies that correspond to the JEDI energy bins at the time of writing.

 Viewing Angle:    0.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
       10.00           0.00000    0.00000    0.00000    0.00000         5.31           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       11.62           0.00000    0.00000    0.00000    0.00000         6.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       12.66           0.00000    0.00000    0.00000    0.00000         6.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       13.79           0.00000    0.00000    0.00000    0.00000         7.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       15.02           0.00000    0.00000    0.00000    0.00000         8.71           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       16.18           0.00000    0.00000    0.00000    0.00000        10.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       17.43           0.00000    0.00000    0.00000    0.00000        11.14           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       18.77           0.00000    0.00000    0.00000    0.00000        12.27           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       20.23           0.00000    0.00000    0.00000    0.00000        13.52           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       22.28           0.00000    0.00000    0.00000    0.00000        14.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       24.54           0.00000    0.00000    0.00000    0.00000        16.66           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       27.04           0.00000    0.00000    0.00000    0.00000        18.64           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       29.78           0.00000    0.00000    0.00000    0.00000        20.85           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
